lexeme;definition
pāihu;partie du nez
peiha;nageoire pectorale
autia;être accepté
tīvai;oindre
rarai;imprécation, malédiction
maunu;longueur de dix brasses
'iriā;emporté, en colère
pōiri;sombre, obscur, ignorant
haumi;humide, moite
tāoro;guirlande de noix de coco
faere;obésité
uvihi;léger sifflement de vent
hītoa;voix perçante, grinçante
tāi'a;pêcher
tātau;abonné, tatouage
fa'aō;se munir d'un cadeau
māota;tasse
tāhea;passage de poissons
opapa;triompher
reipū;bosse
to'au;perche à bords jaunes
opeti;voix signe d'une guerre
tuihē;mince, effilé, maigre
mōhea;maladif, pâle, jaune
tau'a;ami, compagnon, amitié
pūreo;datura, trompette
tōhea;être repu, gorgé
hōvai;hydrogène
aritu;chasseur
pē'ue;natte en feuilles de pandanus
upo'o;tête
rū'au;vieux, vieille
auaua;négligemment
fāura;apparaître
tāfai;pièce de vêtement, piece
mā'oa;turbo cornutus
mātua;vigoureux, fort, violent
'ōteu;variété de taro
'uvao;mulet carrelé
tāu'a;prêter attention
toata;quart, trimestre
hiona;neige
pātea;mère, tante
tīhae;portion d'arc-en-ciel
tuata;quarter, quart
feira;chercher, examiner
honae;desséché, fâné
ateau;courageux
tū'ou;faire un signe
vīteo;vidéo
mutoi;écouter secrètement
raifa;chant traditionnel
tāura;prophète, inspiré
mātua;chronique
ma'au;endommagé, blessé
'ōfao;premier rang des guerriers, plaie variqueuse
'āere;forêt épaisse et dense
niāme;brun clair
mauna;morceau de bois sculpté
'ānae;arbuste astelia
'āhui;ramassis d'objet, tirer vivement une ligne
patao;craintif
tiare;Tiare Tahiti, Gardenia Tahitensis
'āunu;appât
pātua;rafale de vent avant la pluie
pāoro;masser
pāita;grande colère, fureur
fa'eo;jeu d'enfant
amarū;saumure
tūoro;cri, appel
orire;insuffisamment cuit
ria'i;être découragé
na'ia;se déplacer rapidement
uruhi;formation de croûtes sur la peau
'ōrua;vous deux
auhoe;serviteurs d'une divinité
'āria;bientôt
paaiu;produire un bruissement 
hōnea;voix aiguë
mārei;lasso, lacet, piège
pōumu;prendre un bain de vapeur
riona;lion
iripa;insolent
kōiro;congre
'ātiē;assez
pīaua;méthode de pêche
punau;être légèrement découvert
tuere;bavard et inefficace
hōtua;force, pouvoir, bravoure
fifiu;animal sauvage, craintif
'ōono;être urgent
pāo'o;écorce de mûrier
hā'ae;salive, bave
tetēa;personne au teint pâle
'ūmoa;bouton de fleur
tanai;étroit, confiné
tīroa;enjamber
auhuu;abondant
roroi;penché, déformé
atari;inconstant, changeant
tā'ue;complètement, entièrement
vētea;être ouvert, séparé
aurau;instable, fluctuant
farai;frire
ipāhi;non inflammatoire
tōivi;maigre
upo'o;chef d'un parti
fetua;rouler successivement
tōara;koala
'āpua;couronne de fleurs de tiare
raura;prendre le bien d'autrui
toutu;défiguré (visage)
taiao;aurore
'ōveo;variété de taro
tahoā;mal de gorge
tātai;rivage, bord de mer
'ōere;vagabond, errant
vavau;odeur putride
fāiru;essuyer les fesses
vahie;bois à brûler
aamoa;grand enclos
paura;poudre explosive
matie;vert
'auro;or
hītau;pêcheur saisonnier
iruri;nom d'un met local
mōu'u;marisque
pū'oi;lien, jointure, raccord
taura;troupeau, bande, meute
pāite;doubler
tiori;cligner de l'oeil
pāutu;contrée dépouillée
fafai;fourré
marae;défriché, débarrassé
utehu;être en colère
pehao;dévier, se détourner
ara'a;messager
motao;fissure dans la roche
pāpua;jeune branche d'arbre
'ōuri;noirâtre
fāroa;loche mouchetée
fenua;territoire, terre
humae;découvrir, révéler
pirao;être tué
'ū'ui;frotter, polir un objet
mētāi;médaille
mei'i;graisse
putua;être dévié de sa route (navire)
avaro;gras de porc
pāhua;bénitier
rīrio;être desséché
maeva;bienvenue
'āteu;pousser
'atau;râpe à coco
pāero;barrel, barrique, tonneau
pūaea;imprécis, indistinct
tie'a;casse-tête
